direction,records,records_loosened,records_tightened,published_name,gbif_species,old_taxon_id,old_taicol_id,old_scientific_name,old_common_name_zh,new_taxon_id,new_taicol_id,new_scientific_name,new_common_name_zh,precision_before,precision_after,resolved_via,note
unchanged,1,0,0,Falco tinnunculus interstinctus,Falco tinnunculus,85672,t0085672,Falco tinnunculus interstinctus,紅隼,85672,t0085672,Falco tinnunculus interstinctus,紅隼,coarse_10km 1,coarse_10km 1,published,
unchanged,1,0,0,Horornis diphone cantans,Horornis diphone,85766,t0085766,Horornis diphone cantans,日本樹鶯,85766,t0085766,Horornis diphone cantans,日本樹鶯,exact 1,exact 1,published,
unchanged,1,0,0,Halcyon smyrnensis fokiensis,Halcyon smyrnensis,29481,t0029481,Halcyon smyrnensis fokiensis,蒼翡翠,29481,t0029481,Halcyon smyrnensis fokiensis,蒼翡翠,exact 1,exact 1,published,
unchanged,1,0,0,Arenaria interpres interpres,Arenaria interpres,57745,t0057745,Arenaria interpres interpres,翻石鷸,57745,t0057745,Arenaria interpres interpres,翻石鷸,exact 1,exact 1,published,
unchanged,1,0,0,Cisticola exilis volitans,Cisticola exilis,30559,t0030559,Cisticola exilis volitans,黃頭扇尾鶯,30559,t0030559,Cisticola exilis volitans,黃頭扇尾鶯,exact 1,exact 1,published,
unchanged,1,0,0,Pyrrhula erythaca owstoni,Pyrrhula erythaca,32394,t0032394,Pyrrhula owstoni,灰鷽,32394,t0032394,Pyrrhula owstoni,灰鷽,exact 1,exact 1,crosswalk,
unchanged,1,0,0,Apus pacificus pacificus,Apus pacificus,85276,t0085276,Apus pacificus pacificus,叉尾雨燕,85276,t0085276,Apus pacificus pacificus,叉尾雨燕,exact 1,exact 1,published,
unchanged,1,0,0,Sturnus vulgaris poltaratskyi,Sturnus vulgaris,86307,t0086307,Sturnus vulgaris poltaratskyi,歐洲椋鳥,86307,t0086307,Sturnus vulgaris poltaratskyi,歐洲椋鳥,exact 1,exact 1,published,
unchanged,1,0,0,Dicrurus aeneus braunianus,Dicrurus aeneus,85571,t0085571,Dicrurus aeneus braunianus,小卷尾,85571,t0085571,Dicrurus aeneus braunianus,小卷尾,exact 1,exact 1,published,
unchanged,1,0,0,Porzana pusilla pusilla,Porzana pusilla,86447,t0086447,Zapornia pusilla pusilla,小秧雞,86447,t0086447,Zapornia pusilla pusilla,小秧雞,exact 1,exact 1,crosswalk,
unchanged,1,0,0,Ixobrychus flavicollis flavicollis,Dupetor flavicollis,85787,t0085787,Ixobrychus flavicollis flavicollis,黃頸黑鷺,85787,t0085787,Ixobrychus flavicollis flavicollis,黃頸黑鷺,exact 1,exact 1,published,
unchanged,1,0,0,Hierococcyx hyperythrus,Cuculus hyperythrus,65578,t0065578,Hierococcyx hyperythrus,北方鷹鵑,65578,t0065578,Hierococcyx hyperythrus,北方鷹鵑,exact 1,exact 1,published,
unchanged,1,0,0,Larvivora cyane bochaiensis,Luscinia cyane,85811,t0085811,Larvivora cyane bochaiensis,藍歌鴝(東南亞種),85811,t0085811,Larvivora cyane bochaiensis,藍歌鴝(東南亞種),exact 1,exact 1,published,
unchanged,1,0,0,Megapomatorhinus erythrocnemis,Megapomatorhinus erythrocnemis,103435,t0103435,Erythrogenys erythrocnemis,大彎嘴,103435,t0103435,Erythrogenys erythrocnemis,大彎嘴,exact 1,exact 1,crosswalk,
unchanged,1,0,0,Aegithalos concinnus concinnus,Aegithalos concinnus,85184,t0085184,Aegithalos concinnus concinnus,紅頭山雀,85184,t0085184,Aegithalos concinnus concinnus,紅頭山雀,exact 1,exact 1,published,
unchanged,1,0,0,Oriolus traillii ardens,Oriolus traillii,86021,t0086021,Oriolus traillii ardens,朱鸝,86021,t0086021,Oriolus traillii ardens,朱鸝,coarse_10km 1,coarse_10km 1,published,
unchanged,1,0,0,Plestiodon chinensis chinensis,Plestiodon chinensis,102061,t0102061,Plestiodon chinensis chinensis,中國石龍子指名亞種,102061,t0102061,Plestiodon chinensis chinensis,中國石龍子指名亞種,exact 1,exact 1,published,
unchanged,1,0,0,Ardea purpurea manilensis,Ardea purpurea,85282,t0085282,Ardea purpurea manilensis,紫鷺,85282,t0085282,Ardea purpurea manilensis,紫鷺,exact 1,exact 1,published,
unchanged,1,0,0,Otus sunia stictonotus,Otus sunia,86034,t0086034,Otus sunia stictonotus,東方角鴞,86034,t0086034,Otus sunia stictonotus,東方角鴞,coarse_10km 1,coarse_10km 1,published,
unchanged,1,0,0,Charadrius mongolus stegmanni,Charadrius mongolus,85440,t0085440,Anarhynchus mongolus stegmanni,蒙古鴴,85440,t0085440,Anarhynchus mongolus stegmanni,蒙古鴴,exact 1,exact 1,crosswalk,
unchanged,1,0,0,Hypsipetes amaurotis amaurotis,Hypsipetes amaurotis,85778,t0085778,Hypsipetes amaurotis amaurotis,棕耳鵯,85778,t0085778,Hypsipetes amaurotis amaurotis,棕耳鵯,exact 1,exact 1,published,
unchanged,1,0,0,Myotis fimbriatus taiwanensis,Myotis fimbriatus,28153,t0028153,Myotis fimbriatus taiwanensis,臺灣毛腿鼠耳蝠,28153,t0028153,Myotis fimbriatus taiwanensis,臺灣毛腿鼠耳蝠,exact 1,exact 1,published,
unchanged,1,0,0,Troglodytes troglodytes taivanus,Troglodytes troglodytes,86390,t0086390,Troglodytes troglodytes taivanus,鷦鷯,86390,t0086390,Troglodytes troglodytes taivanus,鷦鷯,exact 1,exact 1,published,
unchanged,1,0,0,Bombycilla garrulus centralasiae,Bombycilla garrulus,29907,t0029907,Bombycilla garrulus centralasiae,黃連雀,29907,t0029907,Bombycilla garrulus centralasiae,黃連雀,exact 1,exact 1,published,
unchanged,1,0,0,Myotis formosus flavus,Myotis formosus,85958,t0085958,Myotis formosus flavus,金黃鼠耳蝠,85958,t0085958,Myotis formosus flavus,金黃鼠耳蝠,exact 1,exact 1,published,
unchanged,1,0,0,Accipiter gularis gularis,Accipiter gularis,57535,t0057535,Accipiter gularis gularis,日本松雀鷹,57535,t0057535,Accipiter gularis gularis,日本松雀鷹,coarse_10km 1,coarse_10km 1,published,
unchanged,1,0,0,Eophona personata personata,Eophona personata,28921,t0028921,Eophona personata personata,桑鳲,28921,t0028921,Eophona personata personata,桑鳲,exact 1,exact 1,published,
